,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
1,Phoenix Suns,42,33,9,130,131.6,98.2,33.4,62.7,2.63,19.8,32,70.1,55,10.4,64.9,69.3,104.65,74.2
2,Toronto Raptors,45,26,19,181,112.3,102.8,9.5,48.1,2.03,12.5,42.9,67,54.7,8.7,47.3,52.8,96.63,58.3
3,Chicago Bulls,41,25,16,141,121.7,106.4,15.3,39,1.64,11.8,29.6,68.1,50.7,9.2,51.8,61.1,102.26,61.3
3,Washington Wizards,40,25,15,160,111.1,98.2,12.9,61.9,1.7,16.7,30.4,71.4,52.7,13.4,53.8,59.2,101.04,61.2
5,LA Clippers,42,24,18,149,124.1,113.3,10.8,56.1,2.23,16.5,29.3,64.8,48.2,10,59.1,64.1,99.73,56.8
5,Milwaukee Bucks,41,24,17,122,117.4,101.5,15.9,48,1.42,13.7,34.1,73.7,55,12.8,54.8,60.4,102.06,59.5
5,Philadelphia 76ers,45,24,21,178,109.7,105.8,3.9,53.5,1.79,14.2,27.9,71.3,50.1,10.5,50.2,56.5,97.46,52.8
8,Denver Nuggets,40,23,17,160,107.8,106.3,1.5,58,1.91,14.8,30.5,74.7,52,10.6,46.4,54.1,96.15,51.1
8,Golden State Warriors,42,23,19,148,103.3,99.3,4,56.9,1.68,15.1,30.4,67.9,49,12.3,47.7,53.2,98.47,52.3
8,Miami Heat,38,23,15,134,101.1,100.8,0.3,51.2,1.08,12.1,27.4,72.1,49.2,14.4,48.8,55.8,96.3,51.3
11,Brooklyn Nets,42,22,20,163,112.7,103.6,9.1,54.9,2.23,14.4,33.1,71.2,51.6,8.9,47.4,54.5,98.95,55.4
11,Cleveland Cavaliers,46,22,24,156,110.2,106.6,3.5,63.2,2,15.7,37.5,62.7,49.9,11.1,48.3,54.6,98.89,54.6
11,Dallas Mavericks,38,22,16,128,108.8,117.8,-9.1,51,1.69,14.4,33.1,67.6,49.2,11.6,51.4,55.7,91.93,45.8
14,Los Angeles Lakers,47,21,26,209,104.9,108.5,-3.6,51.9,1.44,14.1,31,71.2,50.6,13.2,50.7,54.5,99.67,46.2
14,Memphis Grizzlies,32,21,11,126,112.2,102.4,9.8,39.6,1.12,10.4,39.6,63,50.7,12.6,46.6,54.1,99.65,55.3
16,Minnesota Timberwolves,38,20,18,127,106.5,107.4,-0.9,42,1.23,11,29.3,62.9,46.5,11.5,48.8,55.1,98.14,48.5
17,Charlotte Hornets,37,19,18,163,110.2,113.2,-3,65.9,2.89,17.8,25.6,65.6,44.4,8.4,49.3,54.6,98.2,46.1
18,Atlanta Hawks,38,18,20,131,110.6,119.4,-8.8,46.5,1.7,13,32.1,70.5,50.9,10.2,48.9,54.7,97.39,42.6
18,Detroit Pistons,44,18,26,147,97.2,111.8,-14.6,44.1,0.93,11,32.9,63.1,48.6,15.6,43.9,50.3,96.23,36
18,New York Knicks,44,18,26,154,93.9,118,-24.1,66,1.78,15,29.5,73.4,49.9,11.6,42.6,47.5,96.66,34.9
21,Sacramento Kings,40,17,23,156,109.3,108.5,0.9,48.2,1.26,12.8,32.9,69.5,51.3,13.4,49.8,57.3,100.33,51.3
21,Utah Jazz,40,17,23,142,105.3,112,-6.7,53.4,1.72,13.7,30,69.3,48.3,10.7,48.6,53.5,100.27,46.2
23,Oklahoma City Thunder,38,16,22,147,108,110.8,-2.7,57,1.81,15.2,25.3,61.7,44.4,11.1,50.6,56.5,106.01,48.3
24,San Antonio Spurs,39,15,24,147,92.7,105,-12.3,54.6,1.51,13.1,31.1,62.4,46.3,11.7,41.2,45.8,101.95,37.9
25,New Orleans Pelicans,32,14,18,115,114.9,119.7,-4.8,56.6,1.62,14.9,30.6,71.2,50.9,12.3,50,58.9,99.56,46.9
25,Portland Trail Blazers,33,14,19,105,108.1,106.5,1.6,53.1,1.48,13,43,74.3,56.8,12.3,44.6,52.6,106.63,51.9
27,Boston Celtics,35,13,22,166,97.7,107.2,-9.5,50,1.4,12.5,23.7,69.6,46.3,11.3,44.6,52.6,100.89,45
27,Houston Rockets,31,13,18,118,104.8,110.3,-5.6,53.7,0.9,13.3,32.2,60.7,47.8,19.4,51.6,57.7,104.58,42.8
27,Orlando Magic,33,13,20,126,98.9,101.9,-3,43.6,0.94,10.2,29,73.9,53.5,13.6,43.7,53.2,101.39,50.5
30,Indiana Pacers,45,11,34,184,94.3,114.4,-20.2,47.4,1.15,10.8,34.9,65.4,48.5,12.8,39.7,45.5,99.65,32.5
